turn_type,turn_abbrev,is_difficult,turn_sub_type,turn_direction,turn_degree
twizzle,Tw,TRUE,LFI,clockwise,
,,,RFI,anti-clockwise,
,,,LFO,anti-clockwise,
,,,RFO,clockwise,
,,,LBI,anti-clockwise,
,,,RBI,clockwise,
,,,LBO,clockwise,
,,,RBO,anti-clockwise,
bracket,B,TRUE,LFI-LBO,anti-clockwise,180
,,,RFI-RBO,clockwise,
,,,LFO-LBI,clockwise,
,,,RFO-RBI,anti-clockwise,
,,,LBI-LFO,clockwise,
,,,RBI-RFO,anti-clockwise,
,,,LBO-LFI,anti-clockwise,
,,,RBO-RFI,clockwise,
loop,Loop,TRUE,LFI,clockwise,360
,,,RFI,anti-clockwise,
,,,LFO,anti-clockwise,
,,,RFO,clockwise,
,,,LBI,anti-clockwise,
,,,RBI,clockwise,
,,,LBO,clockwise,
,,,RBO,anti-clockwise,
counter,CTR,TRUE,LFI-LBI,anti-clockwise,180
,,,RFI-RBI,clockwise,
,,,LFO-LBO,clockwise,
,,,RFO-RBO,anti-clockwise,
,,,LBI-LFI,clockwise,
,,,RBI-RFI,anti-clockwise,
,,,LBO-LFO,anti-clockwise,
,,,RBO-RFO,clockwise,
rocker,RK,TRUE,LFI-LBI,clockwise,180
,,,RFI-RBI,anti-clockwise,
,,,LFO-LBO,anti-clockwise,
,,,RFO-RBO,clockwise,
,,,LBI-LFI,anti-clockwise,
,,,RBI-RFI,clockwise,
,,,LBO-LFO,clockwise,
,,,RBO-RFO,anti-clockwise,
three turn,3,FALSE,LFI-LBO,clockwise,180
,,,RFI-RBO,anti-clockwise,
,,,LFO-LBI,anti-clockwise,
,,,RFO-RBI,clockwise,
,,,LBI-LFO,anti-clockwise,
,,,RBI-RFO,clockwise,
,,,LBO-LFI,clockwise,
,,,RBO-RFI,anti-clockwise,
